time,green,red,yellow,net(g-r)
1781881992.6,0,6,1,-6
1781881993.6,0,11,13,-11
1781881994.6,0,11,12,-11
1781881996.6,0,16,13,-16
1781881997.6,0,16,16,-16
1781881999.6,6,16,6,-10
1781882001.6,6,6,,0
1781882002.6,6,16,3,-10
1781882004.6,6,16,6,-10
1781882006.6,6,16,3,-10
1781882008.6,16,16,6,0
1781882009.6,16,16,3,0
1781882010.6,3,16,3,-13
1781882012.6,0,16,3,-16
1781882013.6,0,16,16,-16
1781882014.6,0,16,3,-16
1781882015.6,0,12,3,-12
1781882016.6,11,12,1,-1
1781882020.6,0,11,1,-11
1781882021.6,0,11,,-11
1781882022.6,0,13,3,-13
1781882023.6,0,12,3,-12
1781882025.6,0,11,3,-11
1781882026.6,0,16,2,-16
1781882027.6,0,16,3,-16
1781882028.6,0,16,2,-16
1781882031.6,1,16,2,-15
1781882032.6,1,10,2,-9
1781882033.6,1,6,2,-5
1781882036.6,61,6,2,55
1781882038.6,66,6,2,60
1781882039.6,0,6,2,-6
1781882040.6,61,6,2,55
1781882041.6,61,11,2,50
1781882043.6,1,11,1,-10
1781882044.6,0,11,2,-11
1781882046.6,0,6,2,-6
1781882048.6,0,11,2,-11
1781882052.6,31,11,2,20
1781882053.6,0,11,2,-11
1781882057.7,0,11,1,-11
1781882058.7,0,1,10,-1
1781882059.7,0,11,2,-11
1781882066.7,32,11,2,21
1781882067.7,0,11,1,-11
1781882068.7,33,11,2,22
1781882069.7,32,11,2,21
1781882070.7,0,11,2,-11
1781882072.7,30,11,2,19
1781882073.7,60,11,2,49
1781882074.7,30,11,2,19
1781882075.7,30,10,2,20
1781882076.7,60,16,2,44
1781882077.7,0,16,2,-16
1781882079.7,0,16,31,-16
1781882083.7,61,16,31,45
1781882088.7,61,11,31,50
1781882244.1,61,11,31,50
1781882247.1,0,0,0,0
1781882249.1,0,0,30,0
1781882250.1,0,3,0,-3
1781882253.1,0,0,0,0
1781882254.1,1,0,0,1
1781882255.1,1,0,,1
1781882256.1,1,0,33,1
1781882257.1,1,3,6,-2
1781882258.1,1,0,0,1
1781882259.1,6,1,3,5
1781882261.1,6,,6,
1781882262.1,6,1,33,5
1781882263.1,6,1,0,5
1781882264.1,6,6,0,0
1781882265.1,6,6,33,0
1781882267.1,6,6,6,0
1781882268.1,6,6,2,0
1781882270.1,6,6,6,0
1781882271.1,6,6,33,0
1781882272.1,6,6,6,0
1781882273.1,6,6,3,0
1781882274.1,0,6,33,-6
1781882275.1,0,6,0,-6
1781882277.1,3,6,0,-3
1781882278.1,3,6,1,-3
1781882279.1,10,0,1,10
1781882280.1,10,6,,4
1781882281.1,10,0,1,10
1781882282.1,31,0,1,31
1781882283.1,13,0,1,13
1781882284.1,16,0,1,16
1781882285.1,11,0,1,11
1781882286.1,16,0,2,16
1781882289.1,16,0,,16
1781882290.1,16,1,6,15
1781882291.1,16,1,2,15
1781882294.1,16,0,2,16
1781882297.1,10,0,2,10
1781882298.1,10,0,6,10
1781882303.1,16,0,0,16
1781882304.1,16,0,1,16
1781882306.1,16,13,0,3
1781882307.1,16,13,3,3
1781882308.1,16,13,6,3
1781882309.1,16,13,,3
1781882310.1,16,13,6,3
